concept,group,canonical_feature,ResidualProbeAccuracy,BottleneckOutputProbeAccuracy,BottleneckOutputProbeAUROC,probe_accuracy_before,probe_auroc_before,reconstruction_norm_ratio,reconstruction_cosine,Top1SparseProbeAccuracy,n_gt_present,CanonicalMissRate,ScatterRate,RetainedElsewhere,BottleneckOutputProbeAccuracy_refit,BottleneckOutputProbeAUROC_refit,ScatterRate_refit,RetainedElsewhere_refit,MeanTop1ContributionShare,MeanCanonicalContributionShare,MedianEffectiveContributorCount,MeanEffectiveContributorCount
animal,entities,1406+,1.0,0.398,0.348688,1.0,1.0,1.4099268913269043,-0.0014737937599420547,0.886,250,0.148,0.02,0.13513513513513514,0.996,0.999952,0.148,1.0,0.12003249751951615,0.0,18.245269844441083,18.298253976530166
body_part,entities,1278-,0.998,0.556,0.5780320000000001,0.998,1.0,1.3549457788467407,0.00542756263166666,0.894,249,0.20080321285140562,0.1646586345381526,0.82,0.998,0.999968,0.20080321285140562,1.0,0.10761981503456196,0.0,18.723581740578563,19.379792522067866
cognition,verbs,1946-,1.0,0.356,0.305536,1.0,1.0,1.3340402841567993,-0.011578233912587166,0.86,250,0.276,0.084,0.30434782608695654,0.996,0.999952,0.276,1.0,0.10720976289607562,0.0,19.260364075309536,19.163845623423096
color,attributes,658+,1.0,0.442,0.4203840000000001,1.0,1.0,1.2945231199264526,-0.005865258630365133,0.95,249,0.008032128514056224,0.0,0.0,0.998,0.999984,0.008032128514056224,1.0,0.09967604082520298,0.0,20.80455791981872,20.60108093311874
desire_intention,verbs,741+,1.0,0.422,0.39780799999999994,1.0,1.0,1.3634141683578491,-0.0009867670014500618,0.856,250,0.276,0.072,0.2608695652173913,1.0,1.0,0.276,1.0,0.100874172308584,0.0035846815777818633,19.04057199674022,19.082705164769497
eating_drinking,verbs,362-,1.0,0.464,0.471152,1.0,1.0,1.3497177362442017,-0.008982920087873936,0.846,250,0.3,0.076,0.25333333333333335,1.0,1.0,0.3,1.0,0.093610755352085,0.0,21.84780155930717,21.81591347837317
family_relation,entities,1312-,0.998,0.49,0.382416,0.998,1.0,1.474808692932129,0.013989046216011047,0.902,247,0.17813765182186234,0.048582995951417005,0.2727272727272727,0.992,0.999648,0.17408906882591094,0.9772727272727273,0.17344214069841518,0.0,14.059160155333016,14.168188127796787
female_pronoun,grammar,1235+,1.0,0.48,0.475824,1.0,1.0,1.502692699432373,-0.000645375985186547,0.682,250,0.32,0.144,0.45,0.9,0.9591839999999999,0.3,0.9375,0.10531378500754776,0.045604354203161376,19.712232329230204,19.704487903187335
first_person_pronoun,grammar,973+,1.0,0.492,0.501152,1.0,1.0,1.4100263118743896,-0.007080995477735996,0.834,250,0.32,0.172,0.5375,0.996,0.9999359999999999,0.316,0.9875,0.1107952097381576,0.0,19.081217187842235,18.746656787494324
food_drink,entities,1625+,1.0,0.558,0.564784,1.0,1.0,1.3619325160980225,-0.0018404526636004448,0.982,249,0.0,0.0,,1.0,1.0,0.0,,0.09651019785861432,0.0015428276790940075,21.288592327027317,21.2661064912469
