concept,group,canonical_feature,ResidualProbeAccuracy,BottleneckOutputProbeAccuracy,BottleneckOutputProbeAUROC,probe_accuracy_before,probe_auroc_before,reconstruction_norm_ratio,reconstruction_cosine,Top1SparseProbeAccuracy,n_gt_present,CanonicalMissRate,ScatterRate,RetainedElsewhere,BottleneckOutputProbeAccuracy_refit,BottleneckOutputProbeAUROC_refit,ScatterRate_refit,RetainedElsewhere_refit,MeanTop1ContributionShare,MeanCanonicalContributionShare,MedianEffectiveContributorCount,MeanEffectiveContributorCount
animal,entities,1075+,1.0,0.478,0.47096,1.0,1.0,1.1764681339263916,-0.013318770565092564,0.652,250,0.676,0.08,0.11834319526627218,0.986,0.999792,0.676,1.0,0.19371013127271822,0.0,9.039986729463973,9.053009361280115
body_part,entities,176+,0.998,0.506,0.5011359999999999,0.998,0.999952,1.1273831129074097,-0.012564824894070625,0.716,249,0.5140562248995983,0.23694779116465864,0.4609375,0.994,0.999888,0.5100401606425703,0.9921875,0.16426139448179886,0.0,10.583923169389607,10.646793444999645
cognition,verbs,567+,1.0,0.47,0.4013440000000001,1.0,1.0,1.1173101663589478,-0.008621775545179844,0.662,249,0.5983935742971888,0.12048192771084337,0.20134228187919462,0.996,0.999936,0.5943775100401606,0.9932885906040269,0.1990618085230023,0.0,9.03489910317282,9.094060131899038
color,attributes,1969+,1.0,0.666,0.7594080000000001,1.0,1.0,1.1151134967803955,0.008442270569503307,0.712,250,0.404,0.24,0.594059405940594,0.986,0.9997119999999999,0.404,1.0,0.13425431686691502,0.0,13.535897258570998,13.597849145662083
desire_intention,verbs,653+,1.0,0.496,0.46932799999999997,1.0,1.0,1.1415013074874878,0.007121821865439415,0.776,249,0.4457831325301205,0.0,0.0,0.998,1.0,0.4457831325301205,1.0,0.20302881004672327,0.0,9.839733070122646,9.785281549810017
eating_drinking,verbs,761-,1.0,0.5,0.39611199999999996,1.0,1.0,1.1187467575073242,0.0012492634123191237,0.738,250,0.488,0.0,0.0,0.994,0.999744,0.488,1.0,0.17214978869703315,0.0,10.069183611445807,10.123373636506098
family_relation,entities,1140-,1.0,0.556,0.593872,1.0,1.0,1.2054898738861084,-0.024727482348680496,0.724,246,0.5284552845528455,0.09349593495934959,0.17692307692307693,0.982,0.998144,0.5203252032520326,0.9846153846153847,0.20138726478178318,0.009108315530020044,9.07623788588404,9.163305330092772
female_pronoun,grammar,1049-,1.0,0.516,0.562112,1.0,1.0,1.238747477531433,-0.009272096678614616,0.7,250,0.464,0.068,0.14655172413793102,0.826,0.891968,0.396,0.853448275862069,0.17314202334054093,0.01589682885901668,10.467664409261381,10.60086851866277
first_person_pronoun,grammar,34+,1.0,0.534,0.6112,1.0,1.0,1.1912660598754883,0.001279110903851688,0.708,249,0.5582329317269076,0.1686746987951807,0.302158273381295,0.982,0.9946879999999999,0.5502008032128514,0.9856115107913669,0.1628157835234125,0.030181169665564167,11.037868125577363,10.879444980246019
food_drink,entities,1849-,1.0,0.494,0.51456,1.0,1.0,1.1370165348052979,-0.014697538688778877,0.78,250,0.284,0.012,0.04225352112676056,0.984,0.99792,0.28,0.9859154929577465,0.18211268249987092,0.0,10.09113564206501,10.01375553325874
